Ticker,Total Return,CAGR,Max Drawdown,Sharpe Ratio
009803.TW,0.021169358521358816,0.08971040762784166,-0.24397588544494786,0.42090695121722843
00896.TW,0.28202817314693895,0.06879414634809189,-0.30505543743299035,0.46561257877531304
00930.TW,0.27635594339512304,0.13588869707413753,-0.27585055412636483,0.8409876298354487
00922.TW,0.5604924037588446,0.22326130369975372,-0.2657443445492639,1.1152423961503597
0052.TW,5.368130582451505,0.19411179903146114,-0.37676155611598694,0.9319513328382603
00701.TW,0.9887971066844583,0.09191024135207182,-0.31097562732052764,0.7314463306472211
00980A.TW,0.11322646956632099,1.8809795178423303,-0.024141153001939863,6.350498375277791
00918.TW,0.8578489459761305,0.2755368185018052,-0.23685904513573453,1.5327855630260991
00713.TW,1.8038002519832905,0.14313439305054865,-0.25799505255492106,1.1380457974006097
00735.TW,1.2343914206174604,0.12165779482142525,-0.36157724660015167,0.6742656601345269
00676R.TW,0.2289999961852991,0.024026460454480425,-0.8046647232347229,0.24399581224802125
00675L.TW,7.241483343953096,0.27488394400289584,-0.5524444580078132,0.8755548336268201
00943.TW,-0.050841089008093476,-0.04814283018253096,-0.28940927754305135,-0.07937539586193681
00932.TW,0.05227125382664477,0.029115000806505753,-0.30305110491350695,0.2537828589781941
00904.TW,0.3632162887329624,0.0996118519094007,-0.3784340645719352,0.5075988065988815
00981A.TW,0.07583417330277054,4.298957807702417,-0.012922476045569842,10.327815692801979
0050.TW,2.87857711914296,0.13870160731290726,-0.3485890179620167,0.8131818848119295
00632R.TW,0.04773039355910358,0.004477992592494706,-0.8708636013312032,0.2260973292319084
00631L.TW,9.815899266458908,0.2562895606487856,-0.5514366807873161,0.8298146029130871
00894.TW,0.5882114363241016,0.12847554514624937,-0.4069447819204116,0.6299882192307528
00912.TW,0.4571838938140693,0.13609783172028256,-0.2664854807844128,0.7385745101864394
00900.TW,0.16822526388815295,0.04584799409954976,-0.3157146774961147,0.3510306407377974
00664R.TW,-0.8185463785904279,-0.1742844726113676,-0.8181357671836508,-1.0093022575488841
00936.TW,0.026262072989065022,0.01644749892320707,-0.3832179745774136,0.18808230485203892
006208.TW,2.9928867556466736,0.14187544147201114,-0.33813183064563623,0.8745610591175156
00731.TW,1.0794174204352154,0.10789143704834725,-0.26807053404410375,0.8425950824672508
00947.TW,-0.1166315816390372,-0.1166315816390372,-0.3745387656522645,-0.23627268130332302
006204.TW,2.3894720133838727,0.12408787238087848,-0.28727275052120527,0.8797976566634481
006201.TWO,1.1658665407986861,0.07684623087808307,-0.4271356647856267,0.4568915379713088
00892.TW,0.25561620158511045,0.05851571915357101,-0.49170801243041296,0.3598697975144528
00961.TW,-0.07200002670287975,-0.10827463382410929,-0.22200200337765108,-0.4012501282131956
0056.TW,1.8054069240475918,0.10389942360428783,-0.2689336447229633,0.7999108492035745
00938.TW,-0.038152591086592524,-0.059864956680776626,-0.22489958173017865,-0.15006382397578172
00733.TW,1.6633778894303215,0.1485869502546744,-0.4532311242983219,0.698551698703173
00982A.TW,0.02772274479166348,0.6909999626216434,-0.015904651532064662,3.3578919490799803
00934.TW,0.24729419066670966,0.1472921383056014,-0.2856925590251638,0.7985447468332166
00915.TW,0.8953393127738876,0.2529341755280372,-0.2506349349575384,1.5303189846194218
0053.TW,3.6639167748733987,0.15900016220850088,-0.34257963128352575,0.8617766846948618
00907.TW,0.21883786247873727,0.06711364139151255,-0.2027194737240665,0.516071226841536
00919.TW,0.850460102117184,0.26240966569452406,-0.23388354509984455,1.4467660709946937
00952.TW,-0.030864216305889314,-0.04032605455245497,-0.32312253141353364,-0.0007383830801664393
00923.TW,0.5546366316089646,0.21557362799803736,-0.27307826855464445,1.0859882423269722
00663L.TW,0.21293109979392066,0.021943874812761832,-0.9067707239500092,0.4740472494840247
00940.TW,-0.027735489667565894,-0.023219306965696185,-0.2629504279983804,-0.006298009870243639
00728.TW,1.2473297672658021,0.11990054838949771,-0.397671548716388,0.694810054357582
006203.TW,2.7181768270108324,0.13410237944617265,-0.33436938095533675,0.8494170243032249
00690.TW,1.6793527739642236,0.12771347045752757,-0.3145780374198359,0.8159836475124465
009802.TW,-0.03430879493673045,-0.14232065913669678,-0.22645289135336533,-0.20156632202895483
00692.TW,2.1608688304134174,0.15325256004200893,-0.30869557931706304,0.9450660637666704
00928.TWO,0.11125489222881457,0.05275123968720008,-0.3544669246021762,0.3527572617491625
00878.TW,0.8641097246637754,0.13573111692323403,-0.22287688220659085,0.9743287353035874
00905.TW,0.5197604674354297,0.14260264355914898,-0.3108141879655919,0.7691217268939987
0051.TW,2.4535990894509663,0.1261085885263027,-0.313002395729731,0.760934810745189
00921.TW,0.33353667581384827,0.12695775379168373,-0.25879340747519297,0.8412763544336365
00850.TW,1.7061724295897975,0.1871588931950321,-0.28045470572686626,1.0426718281041136
009804.TW,0.13286712220731056,1.2885023683622032,-0.03760072277755011,4.432717500675314
009808.TW,0.022029431739962968,0.3425522046137046,-0.02740640684268969,2.034944090169752
00891.TW,0.38730763436345095,0.08444019406939551,-0.45879746099426333,0.46647154093463566
00929.TW,0.32175953679030456,0.14923995773292753,-0.27846208931309413,0.8782989439205376
00946.TW,-0.06427875702893948,-0.058966283327121505,-0.2956103118049038,-0.16232568955382998
00730.TW,0.6675438167946901,0.07215329863114706,-0.31097248337117744,0.542527108911435
00913.TW,0.4636850175264766,0.143493593440295,-0.33082359148410667,0.6931377911753633
0055.TW,1.7735046027785666,0.10269027138349585,-0.3243201640980218,0.7460665517154671
00962.TW,-0.0761522354776798,-0.14395729104321564,-0.3205882394190065,-0.32905620739120023
00901.TW,0.48771961842113076,0.1206396493748132,-0.3301886927660165,0.628627638263096
00927.TW,0.33108334426050723,0.15215995350640377,-0.32911912771396235,0.7783362355771771
00939.TW,-0.03495529279383003,-0.028635713000105922,-0.18085640754045218,-0.06394494636699158
00888.TWO,0.30862841459492785,0.0661379820277479,-0.30012094947616186,0.4396241597561348
00944.TW,-0.0165096360532061,-0.015113487478144783,-0.20116545670171437,0.020419080998776772
00935.TW,0.4801859114753366,0.27615563018648537,-0.3126549217452286,1.0704286351702657
00686R.TW,-0.7793380151694471,-0.16824867387052866,-0.7862744992625382,-0.939788696352038
00685L.TW,6.4445562405389385,0.2772805387316002,-0.5480558279977024,0.8895583925473243
0057.TW,2.556959906480169,0.12929528486194397,-0.33043897246300125,0.7922728990137763
00881.TW,0.9436740233471357,0.1590949705507292,-0.334316024361911,0.7956901619255885
